dataset,algorithm,n_folds,n_failed,roc_auc_mean,roc_auc_std,train_time_median_s,inference_time_median_s
har,tabpfn,15,0,0.9999727834275044,1.3962627230790708e-05,0.6717988338787109,3.9115031471010298
har,xgboost,15,0,0.9998759637120631,4.1934020851788383e-05,8.362897112965584,0.023176786955446
ilpd,catboost,15,0,0.7564028288691648,0.040143828357703415,0.6968375099822879,0.0015966021455824
ilpd,lightgbm,15,0,0.7489922170645062,0.03949344069335155,0.0337783389259129,0.0026793670840561
ilpd,random_forest,15,0,0.7497061414318679,0.03624475464109671,0.1296484740450978,0.0277564660646021
ilpd,tabicl,15,0,0.787776076720088,0.025366800318433205,0.4004575840663165,0.0717495630960911
ilpd,tabpfn,15,0,0.7724512854916824,0.028703481701873743,0.5367242810316384,0.4139005369506776
ilpd,xgboost,15,0,0.7353432233304663,0.044765786147825996,0.0385307490359991,0.0019224679563194
isolet,catboost,15,0,0.9993183481256566,0.00019175480680731706,461.1478563310229,0.0195029170135967
isolet,lightgbm,15,0,0.9990486631810909,0.00025903527069268985,19.82807155098999,0.035708644951228
isolet,random_forest,15,0,0.9984018514675436,0.0003362764961291681,1.6186034780112095,0.0328079769969917
isolet,tabicl,15,0,0.999734578468476,9.532843747884519e-05,4.587774007988628,7.249118042993359
isolet,tabpfn,15,0,0.9995829892573126,0.00010921429041383027,0.5135338500258513,2.791075996996369
isolet,xgboost,15,0,0.9988498597793607,0.0002765949593266268,16.99904066498857,0.0211567300138995
jm1,catboost,15,0,0.7459105979955017,0.012470605398491501,3.2722941099782474,0.0043646459816955
jm1,lightgbm,15,0,0.7426449619675783,0.01299487491909867,0.1727828350267373,0.0039790500304661
jm1,random_forest,15,0,0.7485224789198733,0.010933434011854457,0.6034272329998203,0.0263596999575383
jm1,tabicl,15,0,0.7803014036601984,0.012794650098300967,0.5594648550031707,0.4376014230074361
jm1,tabpfn,15,0,0.7781761845822891,0.01175850152316678,0.5751700490363874,0.9876635210239328
jm1,xgboost,15,0,0.7228578875320483,0.008326750364549877,0.178446079022251,0.0036440000403672
jungle_chess_2pcs_raw_endgame_complete,catboost,15,0,0.975415015736891,0.0008093042365403527,3.3221782430191524,0.0081314589479006
jungle_chess_2pcs_raw_endgame_complete,lightgbm,15,0,0.9746769606661225,0.0008791495677330641,0.2744394470355473,0.0146557840052992
jungle_chess_2pcs_raw_endgame_complete,random_forest,15,0,0.9385221493464793,0.0010633768366593939,0.3381152249639854,0.0343781900010071
jungle_chess_2pcs_raw_endgame_complete,tabicl,15,0,0.9871777884438161,0.0007154001433452029,0.3341470849700272,1.9656587120261968
jungle_chess_2pcs_raw_endgame_complete,tabpfn,15,0,0.9977831895161737,0.0002688035640034359,0.3935049410210922,3.954879807017278
jungle_chess_2pcs_raw_endgame_complete,xgboost,15,0,0.977895930959693,0.0007024764574622255,0.2281014980399049,0.007930739026051
kc1,catboost,15,0,0.826582726959462,0.028614543222602908,1.238956319866702,0.0027247238904237
kc1,lightgbm,15,0,0.7807320471993308,0.02213601788746403,0.0792736520525068,0.0022638859227299
kc1,random_forest,15,0,0.8244793654608593,0.023957113397042182,0.1435696328990161,0.025348138064146
kc1,tabicl,15,0,0.8569834070974189,0.023143346273204905,0.4857487839180976,0.1231160149909555
kc1,tabpfn,15,0,0.8538649996548212,0.023855357412370694,0.525493856985122,0.6763690358493477
kc1,xgboost,15,0,0.788050435647924,0.026513978206025864,0.0674906659405678,0.002705215010792
kc2,catboost,15,0,0.8235982892609398,0.06362535580953493,0.930638151941821,0.0021353049669414
kc2,lightgbm,15,0,0.7841330690728281,0.057474092534662444,0.040550033096224,0.001516330987215
kc2,random_forest,15,0,0.8184373859072653,0.06041823426787518,0.1236858440097421,0.0253164209425449
kc2,tabicl,15,0,0.8442001773327075,0.04736821200996268,0.4715479919686913,0.0775125150103122
kc2,tabpfn,15,0,0.8389740781307046,0.052392404272346246,0.5189080331474543,0.40444929106161
kc2,xgboost,15,0,0.7681496548966429,0.04901706462984836,0.0499850660562515,0.0024790179450064
kr-vs-kp,catboost,15,0,0.9994897731729436,0.0004836529230253581,2.445609458955005,0.0058327780570834
kr-vs-kp,lightgbm,15,0,0.9997160249692792,0.0004522241576153439,0.0730275688692927,0.0090662511065602
kr-vs-kp,random_forest,15,0,0.9987912978373139,0.0015570186396505596,0.1683245198801159,0.034272622084245
kr-vs-kp,tabicl,15,0,0.9997749051974899,0.0003491230653139431,0.6636122050695121,0.2028504491318017
kr-vs-kp,tabpfn,15,0,0.999726518636747,0.0003498002350878246,0.7816185418050736,0.8866263430099934
kr-vs-kp,xgboost,15,0,0.999706887030119,0.00031541082076268326,0.0468188831582665,0.0032461809460073
letter,catboost,15,0,0.9997134617639271,5.845441001153082e-05,18.81790996203199,0.0176485991105437
letter,lightgbm,15,0,0.9996841681696698,7.11711485371325e-05,2.400316559942439,0.1314138199668377
letter,random_forest,15,0,0.9995043213966316,9.687942473391697e-05,0.4472415850032121,0.0362392510287463
letter,tabicl,15,0,0.9999684091669339,9.66947368520427e-06,0.6225751359015703,2.9221764081157744
letter,tabpfn,15,0,0.9999719566248036,8.037646707513558e-06,0.5857206939253956,1.596692095976323
letter,xgboost,15,0,0.9996240302583236,5.62483457906441e-05,1.5080561249051243,0.0372979000676423
