dataset,algorithm,fold,roc_auc,train_time_s,inference_time_s,error
jm1,xgboost,4,0.70528685813046,0.0684199169045314,0.003862434066832,
jm1,lightgbm,0,0.7683889372845865,0.069611630984582,0.0023697990691289,
jm1,lightgbm,1,0.7377393558021632,0.0641656470252201,0.0022507500834763,
jm1,lightgbm,2,0.7407422938117835,0.0642679999582469,0.0022945359814912,
jm1,lightgbm,3,0.7399327179564871,0.0644211990293115,0.0022927029058337,
jm1,lightgbm,4,0.731665113892602,0.0684255859814584,0.0023025979753583,
jm1,catboost,0,0.7731320913975295,5.166103860014118,0.0047578549711033,
jm1,catboost,1,0.7470072070512231,5.18765240709763,0.0030677040340378,
jm1,catboost,2,0.7445507496523626,5.17830211610999,0.0044807089725509,
jm1,catboost,3,0.7381782987679838,5.617631439003162,0.0028443089686334,
jm1,catboost,4,0.7341711562090708,5.704246893990785,0.0022270149784162,
jm1,tabpfn,0,0.7990736883112666,0.7144060730934143,1.7270742170512676,
jm1,tabpfn,1,0.7723475400256467,0.3953787579666823,0.7205797979841009,
jm1,tabpfn,2,0.7795052186192978,0.3400853989878669,0.7203862080350518,
jm1,tabpfn,3,0.765694409124603,0.3403715470340103,0.7201353320851922,
jm1,tabpfn,4,0.775240004860858,0.3395612440072,0.724137036013417,
jm1,tabicl,0,0.8019217450586791,0.3765870990464464,0.4630829339148476,
jm1,tabicl,1,0.7748838052364746,0.2928071710048243,0.3012499330798164,
jm1,tabicl,2,0.7803702541405375,0.2961716090794652,0.3009579560020938,
jm1,tabicl,3,0.7654860972086204,0.2961345129879191,0.3005893939407542,
jm1,tabicl,4,0.7797599276272262,0.2959811839973554,0.3016353499842807,
kc2,random_forest,0,0.7910733844468785,0.082026262069121,0.0129528070101514,
kc2,random_forest,1,0.8529572836801752,0.0792022630339488,0.012913457932882,
kc2,random_forest,2,0.7842799770510613,0.0698126018978655,0.0127842739457264,
kc2,random_forest,3,0.906196213425129,0.0696862339973449,0.0127777240704745,
kc2,random_forest,4,0.719162363740677,0.0798251460073515,0.0129261759575456,
kc2,xgboost,0,0.7897042716319825,0.8755870179738849,0.00325679697562,
kc2,xgboost,1,0.7746440306681271,0.0293660450261086,0.0031170980073511,
kc2,xgboost,2,0.7269076305220883,0.0287611789535731,0.0031238679075613,
kc2,xgboost,3,0.7957544463568561,0.0283993870252743,0.0030502169393002,
kc2,xgboost,4,0.6683878370625359,0.0279683819971978,0.0030420060502365,
kc2,lightgbm,0,0.7738225629791895,0.0216096900403499,0.0009529170347377,
kc2,lightgbm,1,0.8425520262869661,0.0195557840634137,0.0008710239781066,
kc2,lightgbm,2,0.7785427423981641,0.0195771970320493,0.0008832819294184,
kc2,lightgbm,3,0.8209982788296042,0.0195744320517405,0.0008858470246195,
kc2,lightgbm,4,0.6855995410212278,0.0192067120224237,0.0008929569739848,
kc2,catboost,0,0.8006571741511501,4.351547132944688,0.0021428989712148,
kc2,catboost,1,0.8759583789704272,4.442999009042978,0.0014772920403629,
kc2,catboost,2,0.7951807228915663,4.506989032961428,0.0012602470815181,
kc2,catboost,3,0.8720596672403901,5.075315595953725,0.0011525660520419,
kc2,catboost,4,0.6973608720596671,4.543223391985521,0.0011738080065697,
kc2,tabpfn,0,0.7869660460021906,0.6880119990091771,0.9981373730115592,
kc2,tabpfn,1,0.8907447973713032,0.3793931599939242,0.2800536720314994,
kc2,tabpfn,2,0.8141135972461274,0.330105653963983,0.4188494459958747,
kc2,tabpfn,3,0.9168100975329893,0.3302963699679822,0.2789212269708514,
kc2,tabpfn,4,0.7656339644291451,0.3279047689866274,0.2785185340326279,
kc2,tabicl,0,0.7880613362541073,0.222908028983511,0.0968911120435223,
kc2,tabicl,1,0.8880065717415115,0.3441149829886853,0.0498329339316114,
kc2,tabicl,2,0.8135398737808377,0.2404904679860919,0.0494674460496753,
kc2,tabicl,3,0.923121055651176,0.2394980509998276,0.0493867149343714,
kc2,tabicl,4,0.7885829030407343,0.2390185239491984,0.0493510919623076,
kc1,random_forest,0,0.8284205990088344,0.0937140739988535,0.0130027410341426,
kc1,random_forest,1,0.8273432449903038,0.0920041640056297,0.0129913239507004,
kc1,random_forest,2,0.8329239388062918,0.0903722199145704,0.0130152000347152,
kc1,random_forest,3,0.8463568266939054,0.0912084620213136,0.0129608489805832,
kc1,random_forest,4,0.7882022471910113,0.0917899030027911,0.0130017800256609,
kc1,xgboost,0,0.7712777418659772,0.8969970180187374,0.0033461309503763,
kc1,xgboost,1,0.7856927386339152,0.0388673730194568,0.0031804119935259,
kc1,xgboost,2,0.8117000646412411,0.0381690469803288,0.0031763559672981,
kc1,xgboost,3,0.8092441266598569,0.038632150972262,0.0031459210440516,
kc1,xgboost,4,0.7631590319792567,0.0381083659594878,0.0031090860720723,
kc1,lightgbm,0,0.7675285498814911,0.0436946420231834,0.0013722849544137,
kc1,lightgbm,1,0.7680672268907563,0.0400845659896731,0.0013048939872533,
kc1,lightgbm,2,0.8118724412842059,0.0397162040462717,0.0012992260744795,
kc1,lightgbm,3,0.7839419475655431,0.0396252670325338,0.0012798969401046,
kc1,lightgbm,4,0.746218668971478,0.0424342240439727,0.0013114040484651,
kc1,catboost,0,0.8345830639948287,4.301639387966134,0.00534074800089,
kc1,catboost,1,0.8183581124757595,4.153294135001488,0.0016895500011742,
kc1,catboost,2,0.853501400560224,4.1772582600824535,0.0014855240005999,
kc1,catboost,3,0.8203949608443991,4.649592107045464,0.001457521924749,
kc1,catboost,4,0.7916810717372516,4.662084924988449,0.0016335160471498,
kc1,tabpfn,0,0.8756948933419522,0.6825042720884085,1.4692182440776378,
kc1,tabpfn,1,0.84593837535014,0.3815326649928465,0.4598821110557765,
kc1,tabpfn,2,0.8727644904115492,0.3298990249168128,0.4587742920266464,
kc1,tabpfn,3,0.863508682328907,0.3330114450072869,0.4581621249672025,
kc1,tabpfn,4,0.8186041486603285,0.3308068740880117,0.7019794649677351,
kc1,tabicl,0,0.8743374272786038,0.3270956269698217,0.2476694979704916,
kc1,tabicl,1,0.8436543848308554,0.2464380039600655,0.0840172040043398,
kc1,tabicl,2,0.8804998922645982,0.2525629859883338,0.079118849011138,
kc1,tabicl,3,0.8681690500510726,0.2544891000725329,0.089381737052463,
kc1,tabicl,4,0.8160112359550562,0.2551845320267603,0.1355888709658756,
pc1,random_forest,0,0.7808373590982287,0.0827658290509134,0.0129088410176336,
pc1,random_forest,1,0.8394524959742351,0.0786404320970177,0.0129123260267078,
pc1,random_forest,2,0.905491504854369,0.0796482309233397,0.0129006780916824,
pc1,random_forest,3,0.8455703883495145,0.0802603780757635,0.0128918159753084,
pc1,random_forest,4,0.8705501618122977,0.0806154999881982,0.0128721561050042,
pc1,xgboost,0,0.8069243156199679,0.832969289040193,0.003281082957983,
pc1,xgboost,1,0.780354267310789,0.0326667780755087,0.0031152750598266,
pc1,xgboost,2,0.8401092233009708,0.032476121908985,0.0031548540573567,
pc1,xgboost,3,0.793992718446602,0.0321471599163487,0.0030877529643476,
pc1,xgboost,4,0.9116504854368932,0.0329272880917415,0.0031129120616242,
pc1,lightgbm,0,0.7610305958132045,0.0408493900904431,0.0011772430734708,
pc1,lightgbm,1,0.8270531400966185,0.0375772309489548,0.0011048740707337,
pc1,lightgbm,2,0.9095873786407768,0.0382993220118805,0.0011043139966204,
pc1,lightgbm,3,0.8246359223300971,0.0381396029843017,0.0011054250644519,
pc1,lightgbm,4,0.8870550161812298,0.0372012479929253,0.0011003179242834,
pc1,catboost,0,0.8396135265700484,4.092759405029938,0.0022466650698333,
pc1,catboost,1,0.8441223832528181,4.065904760966077,0.0018659739289432,
pc1,catboost,2,0.9150485436893204,4.507394761079922,0.0012986650690436,
pc1,catboost,3,0.8519417475728156,4.6684742430225015,0.0013051040004938,
pc1,catboost,4,0.9135922330097088,4.708132670028135,0.0013092110166326,
pc1,tabpfn,0,0.8524959742351047,0.6872891869861633,1.0226153390249235,
pc1,tabpfn,1,0.888888888888889,0.3819709309609607,0.2898327669827267,
